路線名,路線番号,運行会社,バス停順序,バス停名
モラージュ佐賀線,Y-MORAGE,祐徳バス,1,佐賀駅バスセンター
モラージュ佐賀線,Y-MORAGE,祐徳バス,2,モラージュ佐賀
モラージュ佐賀線,Y-SAGA,祐徳バス,1,佐賀駅バスセンター
モラージュ佐賀線,Y-SAGA,祐徳バス,2,江北駅前
モラージュ佐賀線,Y-SAGA,祐徳バス,3,祐徳神社
モラージュ佐賀線,Y-URESHINO,祐徳バス,1,佐賀駅バスセンター
モラージュ佐賀線,Y-URESHINO,祐徳バス,2,嬉野温泉
モラージュ佐賀線,Y-TAKEO,祐徳バス,1,佐賀駅バスセンター
モラージュ佐賀線,Y-TAKEO,祐徳バス,2,江北駅前
モラージュ佐賀線,Y-TAKEO,祐徳バス,3,武雄温泉
モラージュ佐賀線,Y-YOSHIDA,祐徳バス,1,吉田方面
モラージュ佐賀線,Y-URESHINO-SANMASAKA,祐徳バス,1,嬉野
モラージュ佐賀線,Y-URESHINO-SANMASAKA,祐徳バス,2,三間坂
モラージュ佐賀線,Y-OKUYAMA,祐徳バス,1,奥山方面
モラージュ佐賀線,Y-SHIMOYOSHIDA,祐徳バス,1,下吉田方面
モラージュ佐賀線,Y-TAKEO-SANMASAKA,祐徳バス,1,武雄
モラージュ佐賀線,Y-TAKEO-SANMASAKA,祐徳バス,2,三間坂
モラージュ佐賀線,Y-YUTOKU,祐徳バス,1,祐徳神社方面
モラージュ佐賀線,Y-ONO-NOKOMI,祐徳バス,1,大野
モラージュ佐賀線,Y-ONO-NOKOMI,祐徳バス,2,能古見
モラージュ佐賀線,Y-TARA,祐徳バス,1,太良方面
モラージュ佐賀線,Y-KOUHOKU-LOOP,祐徳バス,1,江北駅北口
モラージュ佐賀線,Y-KOUHOKU-LOOP,祐徳バス,2,土元
モラージュ佐賀線,Y-KOUHOKU-LOOP,祐徳バス,3,白木
モラージュ佐賀線,Y-KOUHOKU-LOOP,祐徳バス,4,パノラマ孔園前
モラージュ佐賀線,Y-KOUHOKU-LOOP,祐徳バス,5,SUMCO前
モラージュ佐賀線,Y-KASHIMA-LOOP,祐徳バス,1,肥前鹿島駅前
モラージュ佐賀線,Y-KASHIMA-LOOP,祐徳バス,2,公園入り口
モラージュ佐賀線,Y-KASHIMA-LOOP,祐徳バス,3,農協前
モラージュ佐賀線,Y-KASHIMA-LOOP,祐徳バス,4,鹿島市役所
モラージュ佐賀線,Y-TAKEO-LOOP,祐徳バス,1,下西山車庫
モラージュ佐賀線,Y-TAKEO-LOOP,祐徳バス,2,武雄市役所前
モラージュ佐賀線,Y-TAKEO-LOOP,祐徳バス,3,武雄北中学校前
モラージュ佐賀線,Y-TAKEO-LOOP,祐徳バス,4,アクロスプラザ
