バス停名,緯度,経度,バス停ID
# フォーマット: バス停名,緯度,経度,__フォーマット__バス停名
どんどんどんの森東,33.25860,130.30236,どんどんどんの森東
ゆめタウン佐賀,33.2756,130.3156,ゆめタウン佐賀
クレオパーク鍋島,33.2550,130.2950,クレオパーク鍋島
グリコ佐賀工場前,33.2470,130.2870,グリコ佐賀工場前
サガテレビ前,33.25617,130.29754,サガテレビ前
バルーンさが駅,33.2892,130.3142,バルーンさが駅
モラージュ佐賀,33.2892,130.3142,モラージュ佐賀
与賀町西,33.25272,130.29699,与賀町西
中の小路,33.25819,130.30066,中の小路
中の館,33.25396,130.29512,中の館
中央大通り,33.2620,130.3000,中央大通り
中折,33.2500,130.2900,中折
久保泉工業団地,33.3100,130.2500,久保泉工業団地
久保田,33.2000,130.3300,久保田
二俣,33.2850,130.2650,二俣
今宿,33.2650,130.3250,今宿
伊賀屋,33.2300,130.2650,伊賀屋
佐嘉神社,33.2480,130.2950,佐嘉神社
佐賀城跡,33.2470,130.2980,佐賀城跡
佐賀大学,33.2408,130.2886,佐賀大学
佐賀大学前,33.2420,130.2900,佐賀大学前
佐賀大学南,33.25006,130.29345,佐賀大学南
佐賀大学本庄キャンパス,33.2408,130.2886,佐賀大学本庄キャンパス
佐賀大学病院,33.2450,130.2850,佐賀大学病院
佐賀女子短大・高校,33.2550,130.2800,佐賀女子短大_高校
佐賀市役所前,33.2633,130.2989,佐賀市役所前
佐賀東高校,33.2700,130.3200,佐賀東高校
佐賀県庁前,33.2493,130.3003,佐賀県庁前
佐賀空港,33.1497,130.3025,佐賀空港
佐賀記念病院,33.2600,130.2750,佐賀記念病院
佐賀駅バスセンター,33.2649,130.3008,佐賀駅バスセンター
佐賀駅バスセンター（4番のりば）,33.264585,130.298952,佐賀駅バスセンター_4番のりば_
佐賀駅バスセンター（終点）,33.264585,130.298952,佐賀駅バスセンター_終点_
佐賀駅北口,33.2658,130.3015,佐賀駅北口
免許センター,33.2810,130.2610,免許センター
兵庫,33.3000,130.2550,兵庫
医学部入口,33.2460,130.2860,医学部入口
医学部北,33.2470,130.2870,医学部北
十五,33.2560,130.2960,十五
千布,33.2950,130.2650,千布
千布南,33.2940,130.2640,千布南
博物館,33.2480,130.2970,博物館
博物館前,33.25609,130.29617,博物館前
卸センター,33.2650,130.3050,卸センター
和崎,33.2450,130.3300,和崎
唐人町,33.26005,130.29996,唐人町
嘉瀬新町,33.2100,130.3150,嘉瀬新町
地蔵前,33.24999,130.29158,地蔵前
大井樋,33.25177,130.29587,大井樋
大詫間,33.2550,130.3350,大詫間
大財通り,33.2610,130.2990,大財通り
尼寺,33.2380,130.2750,尼寺
尼寺東,33.2390,130.2760,尼寺東
川原,33.2410,130.2810,川原
市役所前,33.26336,130.30019,市役所前
常磐団地入口,33.2530,130.2930,常磐団地入口
平松,33.2540,130.3040,平松
平松交差点東,33.24706,130.29027,平松交差点東
平松老人センター前,33.24745,130.28872,平松老人センター前
平林胃腸科前,33.24911,130.28994,平林胃腸科前
広江,33.2400,130.3250,広江
徳万,33.2050,130.3250,徳万
成章中学校西,33.25686,130.30053,成章中学校西
扇町,33.2540,130.2940,扇町
整肢学園前,33.2880,130.2580,整肢学園前
早津江,33.2100,130.3600,早津江
東与賀,33.2300,130.3200,東与賀
東千布,33.2960,130.2660,東千布
橋津,33.2150,130.3550,橋津
江頭,33.2550,130.2950,江頭
清友病院,33.2350,130.2700,清友病院
清友病院前,33.2360,130.2710,清友病院前
犬井道,33.2600,130.3300,犬井道
白山,33.25884,130.30060,白山
県庁前,33.25748,130.30055,県庁前
県庁舎,33.25700,130.29920,県庁舎
真島,33.2440,130.2840,真島
神野公園,33.2580,130.2820,神野公園
福島,33.2430,130.2830,福島
福田,33.2420,130.2820,福田
紡績通り,33.2590,130.2970,紡績通り
自動車試験場,33.2800,130.2600,自動車試験場
若楠,33.2700,130.2700,若楠
蓮池,33.2750,130.3200,蓮池
西与賀,33.2350,130.3100,西与賀
西九大神園南,33.2500,130.2880,西九大神園南
西千布,33.2930,130.2630,西千布
西田代,33.2580,130.2950,西田代
諸富,33.2200,130.3500,諸富
護国神社前,33.25552,130.29944,護国神社前
赤松小学校前,33.25487,130.29527,赤松小学校前
辻の堂,33.25434,130.29829,辻の堂
道崎,33.2700,130.3300,道崎
金立,33.2900,130.2600,金立
金立公民館,33.2910,130.2610,金立公民館
金立公民館前,33.2905,130.2605,金立公民館前
金立団地前,33.2920,130.2620,金立団地前
鍋島,33.2500,130.2900,鍋島
鍋島五丁目,33.2480,130.2880,鍋島五丁目
鍋島団地,33.2510,130.2910,鍋島団地
鍋島新村,33.2490,130.2890,鍋島新村
鍋島駅北,33.2520,130.2920,鍋島駅北
鍋島駅西,33.2510,130.2910,鍋島駅西
