路線番号,便ID,バス停順序,バス停名,時,分,曜日区分,路線名,運行会社
11,100,1,佐賀駅バスセンター,18,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,100,2,市役所前,18,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,100,3,佐賀大学前,19,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,100,4,佐賀大学,19,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,100,5,西与賀,19,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,101,1,佐賀駅バスセンター,19,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,101,2,市役所前,19,23,平日,佐賀大学・西与賀線,佐賀市営バス
11,101,3,佐賀大学前,19,40,平日,佐賀大学・西与賀線,佐賀市営バス
11,101,4,佐賀大学,19,45,平日,佐賀大学・西与賀線,佐賀市営バス
11,101,5,西与賀,19,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,102,1,佐賀駅バスセンター,19,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,102,2,市役所前,19,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,102,3,佐賀大学前,20,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,102,4,佐賀大学,20,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,102,5,西与賀,20,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,103,1,佐賀駅バスセンター,20,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,103,2,市役所前,20,23,平日,佐賀大学・西与賀線,佐賀市営バス
11,103,3,佐賀大学前,20,40,平日,佐賀大学・西与賀線,佐賀市営バス
11,103,4,佐賀大学,20,45,平日,佐賀大学・西与賀線,佐賀市営バス
11,103,5,西与賀,20,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,104,1,佐賀駅バスセンター,20,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,104,2,市役所前,20,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,104,3,佐賀大学前,21,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,104,4,佐賀大学,21,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,104,5,西与賀,21,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,75,1,佐賀駅バスセンター,6,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,75,2,市役所前,6,23,平日,佐賀大学・西与賀線,佐賀市営バス
11,75,3,佐賀大学前,6,40,平日,佐賀大学・西与賀線,佐賀市営バス
11,75,4,佐賀大学,6,45,平日,佐賀大学・西与賀線,佐賀市営バス
11,75,5,西与賀,6,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,76,1,佐賀駅バスセンター,6,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,76,2,市役所前,6,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,76,3,佐賀大学前,7,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,76,4,佐賀大学,7,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,76,5,西与賀,7,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,77,1,佐賀駅バスセンター,7,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,77,2,市役所前,7,23,平日,佐賀大学・西与賀線,佐賀市営バス
11,77,3,佐賀大学前,7,40,平日,佐賀大学・西与賀線,佐賀市営バス
11,77,4,佐賀大学,7,45,平日,佐賀大学・西与賀線,佐賀市営バス
11,77,5,西与賀,7,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,78,1,佐賀駅バスセンター,7,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,78,2,市役所前,7,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,78,3,佐賀大学前,8,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,78,4,佐賀大学,8,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,78,5,西与賀,8,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,79,1,佐賀駅バスセンター,8,20,平日,佐賀大学・西与賀線,佐賀市営バス
11,79,2,市役所前,8,23,平日,佐賀大学・西与賀線,佐賀市営バス
11,79,3,佐賀大学前,8,40,平日,佐賀大学・西与賀線,佐賀市営バス
11,79,4,佐賀大学,8,45,平日,佐賀大学・西与賀線,佐賀市営バス
11,79,5,西与賀,8,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,80,1,佐賀駅バスセンター,8,50,平日,佐賀大学・西与賀線,佐賀市営バス
11,80,2,市役所前,8,53,平日,佐賀大学・西与賀線,佐賀市営バス
11,80,3,佐賀大学前,9,10,平日,佐賀大学・西与賀線,佐賀市営バス
11,80,4,佐賀大学,9,15,平日,佐賀大学・西与賀線,佐賀市営バス
11,80,5,西与賀,9,20,平日,佐賀大学・西与賀線,佐賀市営バス
