路線番号,便ID,バス停順序,バス停名,時,分,曜日区分,路線名,運行会社
N-AIRPORT,2016,1,佐賀駅バスセンター,7,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2016,2,福岡空港,8,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2017,1,佐賀駅バスセンター,8,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2017,2,福岡空港,9,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2018,1,佐賀駅バスセンター,9,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2018,2,福岡空港,10,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2019,1,佐賀駅バスセンター,10,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2019,2,福岡空港,11,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2020,1,佐賀駅バスセンター,11,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2020,2,福岡空港,12,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2021,1,佐賀駅バスセンター,12,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2021,2,福岡空港,13,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2022,1,佐賀駅バスセンター,13,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2022,2,福岡空港,14,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2023,1,佐賀駅バスセンター,14,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2023,2,福岡空港,15,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2024,1,佐賀駅バスセンター,15,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2024,2,福岡空港,16,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2025,1,佐賀駅バスセンター,16,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2025,2,福岡空港,17,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2026,1,佐賀駅バスセンター,17,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2026,2,福岡空港,18,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2027,1,佐賀駅バスセンター,18,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2027,2,福岡空港,19,20,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2028,1,佐賀駅バスセンター,19,30,平日,佐賀～福岡空港線,西鉄バス
N-AIRPORT,2028,2,福岡空港,20,20,平日,佐賀～福岡空港線,西鉄バス
N-FUKUOKA,2000,1,佐賀駅バスセンター,6,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2000,2,佐賀県庁前,6,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2000,3,福岡天神バスセンター,7,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2001,1,佐賀駅バスセンター,7,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2001,2,佐賀県庁前,7,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2001,3,福岡天神バスセンター,8,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2002,1,佐賀駅バスセンター,8,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2002,2,佐賀県庁前,8,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2002,3,福岡天神バスセンター,9,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2003,1,佐賀駅バスセンター,9,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2003,2,佐賀県庁前,9,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2003,3,福岡天神バスセンター,10,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2004,1,佐賀駅バスセンター,10,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2004,2,佐賀県庁前,10,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2004,3,福岡天神バスセンター,11,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2005,1,佐賀駅バスセンター,11,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2005,2,佐賀県庁前,11,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2005,3,福岡天神バスセンター,12,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2006,1,佐賀駅バスセンター,12,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2006,2,佐賀県庁前,12,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2006,3,福岡天神バスセンター,13,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2007,1,佐賀駅バスセンター,13,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2007,2,佐賀県庁前,13,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2007,3,福岡天神バスセンター,14,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2008,1,佐賀駅バスセンター,14,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2008,2,佐賀県庁前,14,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2008,3,福岡天神バスセンター,15,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2009,1,佐賀駅バスセンター,15,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2009,2,佐賀県庁前,15,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2009,3,福岡天神バスセンター,16,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2010,1,佐賀駅バスセンター,16,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2010,2,佐賀県庁前,16,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2010,3,福岡天神バスセンター,17,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2011,1,佐賀駅バスセンター,17,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2011,2,佐賀県庁前,17,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2011,3,福岡天神バスセンター,18,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2012,1,佐賀駅バスセンター,18,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2012,2,佐賀県庁前,18,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2012,3,福岡天神バスセンター,19,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2013,1,佐賀駅バスセンター,19,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2013,2,佐賀県庁前,19,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2013,3,福岡天神バスセンター,20,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2014,1,佐賀駅バスセンター,20,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2014,2,佐賀県庁前,20,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2014,3,福岡天神バスセンター,21,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2015,1,佐賀駅バスセンター,21,0,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2015,2,佐賀県庁前,21,5,平日,佐賀～福岡線,西鉄バス
N-FUKUOKA,2015,3,福岡天神バスセンター,22,0,平日,佐賀～福岡線,西鉄バス
N-TOSU,2029,1,佐賀駅バスセンター,6,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2029,2,鳥栖駅,6,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2030,1,佐賀駅バスセンター,7,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2030,2,鳥栖駅,7,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2031,1,佐賀駅バスセンター,8,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2031,2,鳥栖駅,8,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2032,1,佐賀駅バスセンター,9,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2032,2,鳥栖駅,9,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2033,1,佐賀駅バスセンター,10,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2033,2,鳥栖駅,10,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2034,1,佐賀駅バスセンター,11,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2034,2,鳥栖駅,11,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2035,1,佐賀駅バスセンター,12,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2035,2,鳥栖駅,12,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2036,1,佐賀駅バスセンター,13,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2036,2,鳥栖駅,13,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2037,1,佐賀駅バスセンター,14,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2037,2,鳥栖駅,14,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2038,1,佐賀駅バスセンター,15,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2038,2,鳥栖駅,15,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2039,1,佐賀駅バスセンター,16,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2039,2,鳥栖駅,16,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2040,1,佐賀駅バスセンター,17,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2040,2,鳥栖駅,17,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2041,1,佐賀駅バスセンター,18,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2041,2,鳥栖駅,18,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2042,1,佐賀駅バスセンター,19,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2042,2,鳥栖駅,19,45,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2043,1,佐賀駅バスセンター,20,15,平日,佐賀～鳥栖線,西鉄バス
N-TOSU,2043,2,鳥栖駅,20,45,平日,佐賀～鳥栖線,西鉄バス
N-AIRPORT,7000,1,佐賀駅バスセンター,7,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7000,2,福岡空港,8,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7001,1,佐賀駅バスセンター,8,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7001,2,福岡空港,9,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7002,1,佐賀駅バスセンター,9,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7002,2,福岡空港,10,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7003,1,佐賀駅バスセンター,10,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7003,2,福岡空港,11,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7004,1,佐賀駅バスセンター,11,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7004,2,福岡空港,12,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7005,1,佐賀駅バスセンター,12,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7005,2,福岡空港,13,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7006,1,佐賀駅バスセンター,13,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7006,2,福岡空港,14,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7007,1,佐賀駅バスセンター,14,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7007,2,福岡空港,15,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7008,1,佐賀駅バスセンター,15,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7008,2,福岡空港,16,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7009,1,佐賀駅バスセンター,16,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7009,2,福岡空港,17,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7010,1,佐賀駅バスセンター,17,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7010,2,福岡空港,18,20,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7011,1,佐賀駅バスセンター,18,30,土日祝,佐賀～福岡空港線,西鉄バス
N-AIRPORT,7011,2,福岡空港,19,20,土日祝,佐賀～福岡空港線,西鉄バス
