"service_id","date","exception_type"
"1_平日","20251103","2"
"1_土日祝","20251103","1"
"1_平日","20251124","2"
"1_土日祝","20251124","1"
"1_平日","20260101","2"
"1_土日祝","20260101","1"
"1_平日","20260112","2"
"1_土日祝","20260112","1"
"1_平日","20260211","2"
"1_土日祝","20260211","1"
"1_平日","20260223","2"
"1_土日祝","20260223","1"
"1_平日","20260320","2"
"1_土日祝","20260320","1"
"1_平日","20260429","2"
"1_土日祝","20260429","1"
"1_平日","20260504","2"
"1_土日祝","20260504","1"
"1_平日","20260505","2"
"1_土日祝","20260505","1"
"1_平日","20260506","2"
"1_土日祝","20260506","1"
"1_平日","20260720","2"
"1_土日祝","20260720","1"
"1_平日","20260811","2"
"1_土日祝","20260811","1"
"1_平日","20260921","2"
"1_土日祝","20260921","1"
"1_平日","20260922","2"
"1_土日祝","20260922","1"
"1_平日","20260923","2"
"1_土日祝","20260923","1"
"1_平日","20261012","2"
"1_土日祝","20261012","1"
"1_月・水・金・日のみ運行","20251026","1"
"1_月・水・金・日のみ運行","20251027","1"
"1_月・水・金・日のみ運行","20251029","1"
"1_月・水・金・日のみ運行","20251031","1"
"1_月・水・金・日のみ運行","20251102","1"
"1_月・水・金・日のみ運行","20251103","1"
"1_月・水・金・日のみ運行","20251105","1"
"1_月・水・金・日のみ運行","20251107","1"
"1_月・水・金・日のみ運行","20251109","1"
"1_月・水・金・日のみ運行","20251110","1"
"1_月・水・金・日のみ運行","20251112","1"
"1_月・水・金・日のみ運行","20251114","1"
"1_月・水・金・日のみ運行","20251116","1"
"1_月・水・金・日のみ運行","20251117","1"
"1_月・水・金・日のみ運行","20251119","1"
"1_月・水・金・日のみ運行","20251121","1"
"1_月・水・金・日のみ運行","20251123","1"
"1_月・水・金・日のみ運行","20251124","1"
"1_月・水・金・日のみ運行","20251126","1"
"1_月・水・金・日のみ運行","20251128","1"
"1_月・水・金・日のみ運行","20251130","1"
"1_火・日のみ運行","20251026","1"
"1_火・日のみ運行","20251028","1"
"1_火・日のみ運行","20251102","1"
"1_火・日のみ運行","20251104","1"
"1_火・日のみ運行","20251109","1"
"1_火・日のみ運行","20251111","1"
"1_火・日のみ運行","20251116","1"
"1_火・日のみ運行","20251118","1"
"1_火・日のみ運行","20251123","1"
"1_火・日のみ運行","20251125","1"
"1_火・日のみ運行","20251130","1"
"1_月・水・金のみ運行","20251027","1"
"1_月・水・金のみ運行","20251029","1"
"1_月・水・金のみ運行","20251031","1"
"1_月・水・金のみ運行","20251103","1"
"1_月・水・金のみ運行","20251105","1"
"1_月・水・金のみ運行","20251107","1"
"1_月・水・金のみ運行","20251110","1"
"1_月・水・金のみ運行","20251112","1"
"1_月・水・金のみ運行","20251114","1"
"1_月・水・金のみ運行","20251117","1"
"1_月・水・金のみ運行","20251119","1"
"1_月・水・金のみ運行","20251121","1"
"1_月・水・金のみ運行","20251124","1"
"1_月・水・金のみ運行","20251126","1"
"1_月・水・金のみ運行","20251128","1"
"1_木のみ運行","20251030","1"
"1_木のみ運行","20251106","1"
"1_木のみ運行","20251113","1"
"1_木のみ運行","20251120","1"
"1_木のみ運行","20251127","1"
"1_日のみ運行","20251026","1"
"1_日のみ運行","20251102","1"
"1_日のみ運行","20251109","1"
"1_日のみ運行","20251116","1"
"1_日のみ運行","20251123","1"
"1_日のみ運行","20251130","1"
"3_平日","20251013","2"
"3_日祝","20251013","1"
"3_平日","20251103","2"
"3_日祝","20251103","1"
"3_平日","20251124","2"
"3_日祝","20251124","1"
"3_平日","20251230","2"
"3_日祝","20251230","1"
"3_平日","20251231","2"
"3_日祝","20251231","1"
"3_平日","20260101","2"
"3_日祝","20260101","1"
"3_平日","20260102","2"
"3_日祝","20260102","1"
"3_土曜","20260103","2"
"3_日祝","20260103","1"
"3_平日","20260112","2"
"3_日祝","20260112","1"
"3_平日","20260211","2"
"3_日祝","20260211","1"
"3_平日","20260223","2"
"3_日祝","20260223","1"
"3_平日","20260320","2"
"3_日祝","20260320","1"
"3_平日","20260429","2"
"3_日祝","20260429","1"
"3_平日","20260504","2"
"3_日祝","20260504","1"
"3_平日","20260505","2"
"3_日祝","20260505","1"
"3_平日","20260506","2"
"3_日祝","20260506","1"
"3_平日","20260720","2"
"3_日祝","20260720","1"
"3_平日","20260811","2"
"3_日祝","20260811","1"
"3_平日","20260921","2"
"3_日祝","20260921","1"
"3_平日","20260922","2"
"3_日祝","20260922","1"
"3_平日","20260923","2"
"3_日祝","20260923","1"
"4_平日","20251013","2"
"4_日祝","20251013","1"
"4_平日","20251103","2"
"4_日祝","20251103","1"
"4_平日","20251124","2"
"4_日祝","20251124","1"
"4_平日","20251224","2"
"4_土曜","20251224","2"
"4_日祝","20251224","2"
"4_学休ダイヤ","20251224","1"
"4_平日","20251225","2"
"4_土曜","20251225","2"
"4_日祝","20251225","2"
"4_学休ダイヤ","20251225","1"
"4_平日","20251226","2"
"4_土曜","20251226","2"
"4_日祝","20251226","2"
"4_学休ダイヤ","20251226","1"
"4_平日","20251229","2"
"4_土曜","20251229","2"
"4_日祝","20251229","2"
"4_学休ダイヤ","20251229","1"
"4_平日","20251230","2"
"4_土曜","20251230","2"
"4_日祝","20251230","2"
"4_学休ダイヤ","20251230","1"
"4_平日","20251231","2"
"4_土曜","20251231","2"
"4_日祝","20251231","2"
"4_学休ダイヤ","20251231","1"
"4_平日","20260101","2"
"4_日祝","20260101","1"
"4_平日","20260102","2"
"4_日祝","20260102","1"
"4_土曜","20260103","2"
"4_日祝","20260103","1"
"4_平日","20260105","2"
"4_土曜","20260105","2"
"4_日祝","20260105","2"
"4_学休ダイヤ","20260105","1"
"4_平日","20260106","2"
"4_土曜","20260106","2"
"4_日祝","20260106","2"
"4_学休ダイヤ","20260106","1"
"4_平日","20260107","2"
"4_土曜","20260107","2"
"4_日祝","20260107","2"
"4_学休ダイヤ","20260107","1"
"4_平日","20260112","2"
"4_日祝","20260112","1"
"4_平日","20260211","2"
"4_日祝","20260211","1"
"4_平日","20260223","2"
"4_日祝","20260223","1"
"4_平日","20260320","2"
"4_日祝","20260320","1"
"4_平日","20260325","2"
"4_土曜","20260325","2"
"4_日祝","20260325","2"
