"fare_id","price","currency_type","payment_method","transfers","agency_id"
"1_160","160","JPY","0","0","3000020412015"
"1_170","170","JPY","0","0","3000020412015"
"1_180","180","JPY","0","0","3000020412015"
"1_190","190","JPY","0","0","3000020412015"
"1_200","200","JPY","0","0","3000020412015"
"1_210","210","JPY","0","0","3000020412015"
"1_220","220","JPY","0","0","3000020412015"
"1_230","230","JPY","0","0","3000020412015"
"1_240","240","JPY","0","0","3000020412015"
"1_250","250","JPY","0","0","3000020412015"
"1_260","260","JPY","0","0","3000020412015"
"1_270","270","JPY","0","0","3000020412015"
"1_280","280","JPY","0","0","3000020412015"
"1_290","290","JPY","0","0","3000020412015"
"1_300","300","JPY","0","0","3000020412015"
"1_310","310","JPY","0","0","3000020412015"
"1_320","320","JPY","0","0","3000020412015"
"1_330","330","JPY","0","0","3000020412015"
"1_340","340","JPY","0","0","3000020412015"
"1_350","350","JPY","0","0","3000020412015"
"1_360","360","JPY","0","0","3000020412015"
"1_370","370","JPY","0","0","3000020412015"
"1_380","380","JPY","0","0","3000020412015"
"1_390","390","JPY","0","0","3000020412015"
"1_400","400","JPY","0","0","3000020412015"
"1_410","410","JPY","0","0","3000020412015"
"1_420","420","JPY","0","0","3000020412015"
"1_430","430","JPY","0","0","3000020412015"
"1_440","440","JPY","0","0","3000020412015"
"1_450","450","JPY","0","0","3000020412015"
"1_460","460","JPY","0","0","3000020412015"
"1_470","470","JPY","0","0","3000020412015"
"1_480","480","JPY","0","0","3000020412015"
"1_490","490","JPY","0","0","3000020412015"
"1_500","500","JPY","0","0","3000020412015"
"1_510","510","JPY","0","0","3000020412015"
"1_520","520","JPY","0","0","3000020412015"
"1_530","530","JPY","0","0","3000020412015"
"1_550","550","JPY","0","0","3000020412015"
"1_560","560","JPY","0","0","3000020412015"
"1_570","570","JPY","0","0","3000020412015"
"1_580","580","JPY","0","0","3000020412015"
"1_590","590","JPY","0","0","3000020412015"
"1_600","600","JPY","0","0","3000020412015"
"1_610","610","JPY","0","0","3000020412015"
"1_620","620","JPY","0","0","3000020412015"
"1_630","630","JPY","0","0","3000020412015"
"3_0","0","JPY","0","0","9300001007204"
"3_160","160","JPY","0","0","9300001007204"
"3_170","170","JPY","0","0","9300001007204"
"3_180","180","JPY","0","0","9300001007204"
"3_190","190","JPY","0","0","9300001007204"
"3_200","200","JPY","0","0","9300001007204"
"3_210","210","JPY","0","0","9300001007204"
"3_220","220","JPY","0","0","9300001007204"
"3_230","230","JPY","0","0","9300001007204"
"3_240","240","JPY","0","0","9300001007204"
"3_250","250","JPY","0","0","9300001007204"
"3_260","260","JPY","0","0","9300001007204"
"3_270","270","JPY","0","0","9300001007204"
"3_280","280","JPY","0","0","9300001007204"
"3_290","290","JPY","0","0","9300001007204"
"3_300","300","JPY","0","0","9300001007204"
"3_310","310","JPY","0","0","9300001007204"
"3_320","320","JPY","0","0","9300001007204"
"3_330","330","JPY","0","0","9300001007204"
"3_340","340","JPY","0","0","9300001007204"
"3_350","350","JPY","0","0","9300001007204"
"3_360","360","JPY","0","0","9300001007204"
"3_370","370","JPY","0","0","9300001007204"
"3_380","380","JPY","0","0","9300001007204"
"3_390","390","JPY","0","0","9300001007204"
"3_400","400","JPY","0","0","9300001007204"
"3_410","410","JPY","0","0","9300001007204"
"3_420","420","JPY","0","0","9300001007204"
"3_430","430","JPY","0","0","9300001007204"
"3_440","440","JPY","0","0","9300001007204"
"3_450","450","JPY","0","0","9300001007204"
"3_460","460","JPY","0","0","9300001007204"
"3_470","470","JPY","0","0","9300001007204"
"3_480","480","JPY","0","0","9300001007204"
"3_490","490","JPY","0","0","9300001007204"
"3_500","500","JPY","0","0","9300001007204"
"3_510","510","JPY","0","0","9300001007204"
"3_520","520","JPY","0","0","9300001007204"
"3_530","530","JPY","0","0","9300001007204"
"3_540","540","JPY","0","0","9300001007204"
"3_560","560","JPY","0","0","9300001007204"
"3_570","570","JPY","0","0","9300001007204"
"3_580","580","JPY","0","0","9300001007204"
"3_590","590","JPY","0","0","9300001007204"
"3_600","600","JPY","0","0","9300001007204"
"3_610","610","JPY","0","0","9300001007204"
"3_620","620","JPY","0","0","9300001007204"
"3_630","630","JPY","0","0","9300001007204"
"3_640","640","JPY","0","0","9300001007204"
"3_650","650","JPY","0","0","9300001007204"
"3_660","660","JPY","0","0","9300001007204"
"3_670","670","JPY","0","0","9300001007204"
"3_680","680","JPY","0","0","9300001007204"
