"trans_id","lang","translation"
"佐賀駅バスセンター 1番のりば","ja","佐賀駅バスセンター 1番のりば"
"佐賀駅バスセンター 1番のりば","ja-Hrkt","さがえきばすせんたー"
"佐賀駅バスセンター 1番のりば","en","Saga Station Bus Terminal Gate1"
"佐賀駅バスセンター 1番のりば","zh-CN","佐贺站巴士中心 第1站台"
"佐賀駅バスセンター 1番のりば","zh-TW","佐賀站巴士中心 第1站台"
"佐賀駅バスセンター 1番のりば","ko","사가역버스센터 1번 승차장"
"佐賀学園北(2)","ja","佐賀学園北(2)"
"佐賀学園北(2)","ja-Hrkt","さががくえんきた"
"佐賀学園北(2)","en","Sagagakuenkita(Saga Gakuen North)"
"佐賀学園北(2)","zh-CN","佐贺私立中学北"
"佐賀学園北(2)","zh-TW","佐賀私立中學北"
"佐賀学園北(2)","ko","사가가쿠엔북쪽"
"夢咲公園(2)","ja","夢咲公園(2)"
"夢咲公園(2)","ja-Hrkt","ゆめさきこうえん"
"夢咲公園(2)","en","Yumesakikoen(Yumesaki Park)"
"夢咲公園(2)","zh-CN","梦开公园"
"夢咲公園(2)","zh-TW","夢咲公園"
"夢咲公園(2)","ko","유메사키공원"
"ほほえみ館前(2)","ja","ほほえみ館前(2)"
"ほほえみ館前(2)","ja-Hrkt","ほほえみかんまえ"
"ほほえみ館前(2)","en","Hohoemikan-mae(Hohoemikan )"
"ほほえみ館前(2)","zh-CN","微笑馆（佐贺健康福利设施）前"
"ほほえみ館前(2)","zh-TW","微笑館（佐賀健康福利設施）前"
"ほほえみ館前(2)","ko","호호에미칸앞"
"夢咲コスモスタウン南(2)","ja","夢咲コスモスタウン南(2)"
"夢咲コスモスタウン南(2)","ja-Hrkt","ゆめさきこすもすたうんみなみ"
"夢咲コスモスタウン(2)","ja","夢咲コスモスタウン(2)"
"夢咲コスモスタウン(2)","ja-Hrkt","ゆめさきこすもすたうん"
"夢咲コスモスタウン(2)","en","Yumesakikosumosutaun(Yumesaki Cosmos Town)"
"夢咲コスモスタウン(2)","zh-CN","梦开大波斯菊镇"
"夢咲コスモスタウン(2)","zh-TW","夢咲大波斯菊鎮"
"夢咲コスモスタウン(2)","ko","유메사키코스모스타운"
"夢咲コスモスタウン北(2)","ja","夢咲コスモスタウン北(2)"
"夢咲コスモスタウン北(2)","ja-Hrkt","ゆめさきこすもすたうんきた"
"夢咲コスモスタウン北(2)","en","Yumesakikosumosutaunkita(Yumesaki Cosmos Town North)"
"夢咲コスモスタウン北(2)","zh-CN","梦开大波斯菊镇北"
"夢咲コスモスタウン北(2)","zh-TW","夢咲大波斯菊鎮北"
"夢咲コスモスタウン北(2)","ko","유메사키코스모스타운북쪽"
"ゆめタウン佐賀","ja","ゆめタウン佐賀"
"ゆめタウン佐賀","ja-Hrkt","ゆめたうんさが"
"ゆめタウン佐賀","en","You Me Town Saga"
"ゆめタウン佐賀","zh-CN","佐贺梦想小镇购物中心"
"ゆめタウン佐賀","zh-TW","佐賀夢想小鎮購物中心"
"ゆめタウン佐賀","ko","유메타운사가"
"夢咲コスモスタウン北(1)","ja","夢咲コスモスタウン北(1)"
"夢咲コスモスタウン北(1)","ja-Hrkt","ゆめさきこすもすたうんきた"
"夢咲コスモスタウン北(1)","en","Yumesakikosumosutaunkita(Yumesaki Cosmos Town North)"
"夢咲コスモスタウン北(1)","zh-CN","梦开大波斯菊镇北"
"夢咲コスモスタウン北(1)","zh-TW","夢咲大波斯菊鎮北"
"夢咲コスモスタウン北(1)","ko","유메사키코스모스타운북쪽"
"夢咲コスモスタウン(1)","ja","夢咲コスモスタウン(1)"
"夢咲コスモスタウン(1)","ja-Hrkt","ゆめさきこすもすたうん"
"夢咲コスモスタウン(1)","en","Yumesakikosumosutaun(Yumesaki Cosmos Town)"
"夢咲コスモスタウン(1)","zh-CN","梦开大波斯菊镇"
"夢咲コスモスタウン(1)","zh-TW","夢咲大波斯菊鎮"
"夢咲コスモスタウン(1)","ko","유메사키코스모스타운"
"夢咲コスモスタウン南(1)","ja","夢咲コスモスタウン南(1)"
"夢咲コスモスタウン南(1)","ja-Hrkt","ゆめさきこすもすたうんみなみ"
"ほほえみ館前(1)","ja","ほほえみ館前(1)"
"ほほえみ館前(1)","ja-Hrkt","ほほえみかんまえ"
"ほほえみ館前(1)","en","Hohoemikan-mae(Hohoemikan )"
"ほほえみ館前(1)","zh-CN","微笑馆（佐贺健康福利设施）前"
"ほほえみ館前(1)","zh-TW","微笑館（佐賀健康福利設施）前"
"ほほえみ館前(1)","ko","호호에미칸앞"
"夢咲公園(1)","ja","夢咲公園(1)"
"夢咲公園(1)","ja-Hrkt","ゆめさきこうえん"
"夢咲公園(1)","en","Yumesakikoen(Yumesaki Park)"
"夢咲公園(1)","zh-CN","梦开公园"
"夢咲公園(1)","zh-TW","夢咲公園"
"夢咲公園(1)","ko","유메사키공원"
"佐賀学園北(1)","ja","佐賀学園北(1)"
"佐賀学園北(1)","ja-Hrkt","さががくえんきた"
"佐賀学園北(1)","en","Sagagakuenkita(Saga Gakuen North)"
"佐賀学園北(1)","zh-CN","佐贺私立中学北"
"佐賀学園北(1)","zh-TW","佐賀私立中學北"
"佐賀学園北(1)","ko","사가가쿠엔북쪽"
"佐賀清和学園前(2)","ja","佐賀清和学園前(2)"
"佐賀清和学園前(2)","ja-Hrkt","さがせいわがくえんまえ"
"佐賀清和学園前(2)","en","Sagaseiwagakuen-mae(Saga Seiwa Gakuen )"
"佐賀清和学園前(2)","zh-CN","佐贺清和私立中学前"
"佐賀清和学園前(2)","zh-TW","佐賀清和私立中學前"
"佐賀清和学園前(2)","ko","사가세이와가쿠엔앞"
